index,AphiaID,Kingdom,Phylum,Class,Subclass,Order,Family,Genus
Abyssopathes lyra,289303,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Abyssopathes
Cirrhipathes spiralis,287837,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Cirrhipathes
Abyssopathes lyriformis,289304,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Abyssopathes
Stylopathes columnaris,291151,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Stylopathidae,Stylopathes
Stylopathes americana,291150,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Stylopathidae,Stylopathes
Allopathes denhartogi,289390,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Allopathes
Dendrobathypathes boutillieri,289787,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Dendrobathypathes
Antipathes lentipinna,283910,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Bathypathes seculata,283948,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes
Lillipathes wingi,290293,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Lillipathes
Tylopathes crispa,291261,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Stylopathidae,Tylopathes
Cupressopathes cylindrica,723661,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Cupressopathes
Cupressopathes gracilis,289760,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Cupressopathes
Myriopathes panamensis,290437,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Myriopathes
Isididae,125276,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Isididae
Madrepora carolina,287092,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Madrepora
Solenosmilia australis,736240,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Solenosmilia
Pheronema annae,171558,Animalia,Porifera,Hexactinellida,Amphidiscophora,Amphidiscosida,Pheronematidae,Pheronema
Phorbas amaranthus,169306,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Hymedesmiidae,Phorbas
Podospongia india,168724,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Podospongiidae,Podospongia
Polymastia bartletti,134193,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Polymastia
Rhabderemia mona,168184,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Biemnida,Rhabderemiidae,Rhabderemia
Hydroidolina,19494,Animalia,Cnidaria,Hydrozoa,Hydroidolina,,,
Ridleia dendyi,170679,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Ridleia
Dendrophyllia velata,286982,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia
Sycandra utriculus,132242,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Grantiidae,Sycandra
Sycon barbadense,164562,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Sycettidae,Sycon
Topsentia ophiraphidites,165956,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Halichondriidae,Topsentia
Tretodictyidae,131690,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Tretodictyidae,
Vetulina stalactites,171268,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Sphaerocladina,Vetulinidae,Vetulina
Clathrina cancellata,132273,Animalia,Porifera,Calcarea,Calcinea,Clathrinida,Clathrinidae,Clathrina
Vosmaeropsis cyathus,164468,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Heteropiidae,Vosmaeropsis
Xestospongia rampa,166899,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Petrosiidae,Xestospongia
Cyrtaulon sigsbeei,171796,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Sceptrulophora incertae sedis,Cyrtaulon
Farrea herdendorfi,171744,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,Farrea
Auletta tuberosa,165454,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Auletta
Scleraxonia,125268,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,
Lipastrotethya rhaphoxea,165685,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Bubarida,Dictyonellidae,Lipastrotethya
Leucetta floridana,174278,Animalia,Porifera,Calcarea,Calcinea,Clathrinida,Leucettidae,Leucetta
Lychnocystis superstes,171822,Animalia,Porifera,Hexactinellida,Hexasterophora,Lychniscosida,Aulocystidae,Lychnocystis
Dactylocalyx pumiceus,171652,Animalia,Porifera,Hexactinellida,Hexasterophora,Hexasterophora incertae sedis,Dactylocalycidae,Dactylocalyx
Myliusia seriata,171670,Animalia,Porifera,Hexactinellida,Hexasterophora,Hexasterophora incertae sedis,Myliusia,Myliusia seriata
Myrmekioderma rea,166023,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Heteroxyidae,Myrmekioderma
Leucandra barbata,164281,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Grantiidae,Leucandra
Gelliodes leucosolenia,166729,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Niphatidae,Gelliodes
Calyx podatypa,166934,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Phloeodictyidae,Calyx
Neopetrosia proxima,378581,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Petrosiidae,Neopetrosia
Neofibularia nolitangere,168323,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Biemnida,Biemnidae,Neofibularia
Hexactinella carolinensis,344897,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Tretodictyidae,Hexactinella
Halicometes thyris,170915,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,Tethyidae,Halicometes
Nucleotethya bifida,170919,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,Tethyidae,Nucleotethya
Euplectellinae,171888,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Euplectellidae,Euplectellinae
Leucandra aspera,164278,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Grantiidae,Leucandra
Leuconia usa,164172,Animalia,Porifera,Calcarea,Calcaronea,Baerida,Baeriidae,Leuconia
Agelas oroides,132454,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Agelasida,Agelasidae,Agelas
Aiolochroia crassa,169632,Animalia,Porifera,Demospongiae,Verongimorpha,Verongiida,Aplysinidae,Aiolochroia
Oculina diffusa,287097,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Oculina
Agelas schmidtii,164842,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Agelasida,Agelasidae,Agelas
Cornulum johnsoni,167376,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Acarnidae,Cornulum
Hyalonematidae,131684,Animalia,Porifera,Hexactinellida,Amphidiscophora,Amphidiscosida,Hyalonematidae,
Aphroceras ensata,132172,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Grantiidae,Aphroceras
Claviscopulia facunda,171736,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,Claviscopulia
Arthuria canariensis,742242,Animalia,Porifera,Calcarea,Calcinea,Clathrinida,Clathrinidae,Arthuria
Telopathes magnus,740051,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Telopathes
Ircinia dickinsoni,165016,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Irciniidae,Ircinia
Iphiteon panicea,171656,Animalia,Porifera,Hexactinellida,Hexasterophora,Hexasterophora incertae sedis,Dactylocalycidae,Iphiteon
Clathrina coriacea,132277,Animalia,Porifera,Calcarea,Calcinea,Clathrinida,Clathrinidae,Clathrina
Cladopathidae,266961,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Cladopathidae,
Placotrochides minuta,287041,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Placotrochides
Octocorallia,1341,Animalia,Cnidaria,Anthozoa,Octocorallia,,,
Leiopathes secunda,283951,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Leiopathidae,Leiopathes
Acanthella cubensis,165655,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Bubarida,Dictyonellidae,Acanthella
Acanthella mastophora,132457,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Bubarida,Dictyonellidae,Acanthella
Auletta sycinularia,132463,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Auletta
Dysideidae,131624,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Dysideidae,
Aaptos aaptos,134241,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Aaptos
Antipathes simplex,283926,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Acanthella vaceleti,165669,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Bubarida,Dictyonellidae,Acanthella
Aaptos pernucleata,170741,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Aaptos
Truncatoflabellum martensii,287059,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Scleroplegma lanterna,171832,Animalia,Porifera,Hexactinellida,Hexasterophora,Lychniscosida,Diapleuridae,Scleroplegma
Parantipathes euantha,472933,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Parantipathes
Radiella sol,170677,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Radiella
Alternatipathes alternata,994319,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Alternatipathes
Cliona varians,170485,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Clionaidae,Cliona
Amphimedon compressa,166666,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Niphatidae,Amphimedon
Aplysina fistularis,169648,Animalia,Porifera,Demospongiae,Verongimorpha,Verongiida,Aplysinidae,Aplysina
Gardineria simplex,287447,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Gardineriidae,Gardineria
Cladorhiza bathycrinoides,133190,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Cladorhiza
Aphrocallistidae,131686,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Aphrocallistidae,
Oculina profunda,287098,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Oculina
Diplastrella bistellata,134317,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Spirastrellidae,Diplastrella
Terpios lobiceps,170896,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Terpios
Desmacella vagabunda,133221,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Desmacellida,Desmacellidae,Desmacella
Dactylocalyx subglobosus,171653,Animalia,Porifera,Hexactinellida,Hexasterophora,Hexasterophora incertae sedis,Dactylocalycidae,Dactylocalyx
Halicnemia verticillata,182743,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Stelligeridae,Halicnemia
Guitarra fimbriata,133226,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Guitarridae,Guitarra
Phakellia ventilabrum,132511,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Phakellia
Myliusia conica,171668,Animalia,Porifera,Hexactinellida,Hexasterophora,Hexasterophora incertae sedis,Myliusia,Myliusia conica
Haliclona hebes,166388,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Chalinidae,Haliclona
Aplysinidae,131660,Animalia,Porifera,Demospongiae,Verongimorpha,Verongiida,Aplysinidae,
Agelas conifera,164824,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Agelasida,Agelasidae,Agelas
Oceanapia peltata,166984,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Phloeodictyidae,Oceanapia
Siphonodictyon densum,596682,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Phloeodictyidae,Siphonodictyon
Phakellia folium,165581,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Phakellia
Topsentia profunditatis,165959,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Halichondriidae,Topsentia
Truncatoflabellum paripavoninum,287062,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum incrustatum,287056,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum formosum,287053,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum carinatum,287049,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum candeanum,287048,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Heteropsammia cochlea,207501,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Heteropsammia
Culicia stellata,288363,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Rhizangiidae,Culicia
Notocyathus venustus,290498,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Notocyathus
Notocyathus conicus,290497,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Notocyathus
Tropidocyathus lessonii,291249,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Tropidocyathus
Cyathotrochus pileus,289767,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Cyathotrochus
Endocyathopora laticostata,289889,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Endocyathopora
Thrypticotrochus petterdi,291221,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Thrypticotrochus
Idiotrochus kikutii,290181,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Idiotrochus
Truncatoflabellum cumingii,287051,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum pusillum,287064,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Placotrochus laevis,288824,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Placotrochus
Placotrochides scaphula,287042,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Placotrochides
Rhizotrochus typus,216159,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Rhizotrochus
Gardineria philippinensis,287446,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Gardineriidae,Gardineria
Aulocyathus matricidus,286721,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Aulocyathus
Rhizosmilia sagamiensis,290977,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Rhizosmilia
Oculinidae,135078,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,
Rhizotrochus levidensis,288450,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Rhizotrochus
Alatotrochus rubescens,289389,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Alatotrochus
Aplysina lacunosa,169656,Animalia,Porifera,Demospongiae,Verongimorpha,Verongiida,Aplysinidae,Aplysina
Truncatoflabellum aculeatum,287043,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum spheniscus,287065,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum gardineri,287054,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum stabile,135202,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum phoenix,287063,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum crassum,287050,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Dendrophyllia florulenta,286971,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia
Eguchipsammia wellsi,286987,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia
Madracis asanoi,287104,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis
Ericiocyathus echinatus,289911,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Ericiocyathus
Deltocyathus philippinensis,286802,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Rhizosmilia elata,290972,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Rhizosmilia
Tropidocyathus labidus,291248,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Tropidocyathus
Truncatoflabellum mortenseni,287060,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum angustum,287045,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Truncatoflabellum dens,287052,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Myriopathes myriophylla,290436,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Myriopathes
Leptopsammia stokesiana,286994,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Leptopsammia
Antipathella subpinnata,289447,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Antipathella
Arachnopathes ericoides,289451,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Arachnopathes
Anthemiphyllia patera,346422,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Anthemiphylliidae,Anthemiphyllia
Axinella corrugata,165472,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Axinella
Axinella shoemakeri,165509,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Axinella
Axinella waltonsmithi,165525,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Axinella
Dictyonellidae,131632,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Bubarida,Dictyonellidae,
Acarnidae,167333,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Acarnidae,
Calthropellidae,170035,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Calthropellidae
Clathrinidae,131619,Animalia,Porifera,Calcarea,Calcinea,Clathrinida,Clathrinidae,
Siphonidiidae,131681,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Spirophorina,Siphonidiidae
Niphatidae,131637,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Niphatidae,
Hymedesmiidae,131655,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Hymedesmiidae,
Plakinidae,131661,Animalia,Porifera,Homoscleromorpha,Homosclerophorida,Plakinidae,,
Chondrilla nucula,134110,Animalia,Porifera,Demospongiae,Verongimorpha,Chondrillida,Chondrillidae,Chondrilla
Chondrosia reniformis,134112,Animalia,Porifera,Demospongiae,Verongimorpha,Chondrosiida,Chondrosiidae,Chondrosia
Cliona schmidtii,134139,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Clionaidae,Cliona
Ciocalypta gibbsi,165765,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Halichondriidae,Ciocalypta
Cliona caribbaea,170432,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Clionaidae,Cliona
Cliona celata,134121,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Clionaidae,Cliona
Cliona delitrix,170437,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Clionaidae,Cliona
Antipathes grandiflora,283902,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Pione vastifica,157411,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Clionaidae,Pione
Desmacella annexa,133206,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Desmacellida,Desmacellidae,Desmacella
Desmacella pumilio,133218,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Desmacellida,Desmacellidae,Desmacella
Desmapsamma anchorata,169121,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Desmacididae,Desmapsamma
Dysidea fragilis,132324,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Dysideidae,Dysidea
Euryspongia rosea,164985,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Dysideidae,Euryspongia
Chalinula molitba,166293,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Chalinidae,Chalinula
Amphimedon viridis,166701,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Niphatidae,Amphimedon
Higginsia strigilata,132544,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Stelligeridae,Higginsia
Hippospongia lachne,165108,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Spongiidae,Hippospongia
Hyattella intestinalis,132378,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Spongiidae,Hyattella
Igernella notabilis,164900,Animalia,Porifera,Demospongiae,Keratosa,Dendroceratida,Dictyodendrillidae,Igernella
Spirastrellidae,131674,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Spirastrellidae,
Iotrochota birotulata,169379,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Iotrochotidae,Iotrochota
Ircinia campana,165009,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Irciniidae,Ircinia
Ircinia felix,165020,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Irciniidae,Ircinia
Ircinia strobilina,165051,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Irciniidae,Ircinia
Hymeniacidon caerulea,165882,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Halichondriidae,Hymeniacidon
Madracis auretenra,430664,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis
Merlia normani,168482,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Merliida,Merliidae,Merlia
Monanchora arbuscula,169016,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Crambeidae,Monanchora
Niphates erecta,166776,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Niphatidae,Niphates
Oculina implicata,869581,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Oculina
Neopetrosia carbonaria,166799,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Petrosiidae,Neopetrosia
Suberites massa,134296,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Suberites
Placospongia carinata,170611,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Placospongiidae,Placospongia
Dragmacidon reticulatum,165558,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Dragmacidon
Pseudotrachya hystrix,134261,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Pseudotrachya
Scolopes megastra,170409,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Clionaidae,Scolopes
Scopalina ruetzleri,165702,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Scopalinida,Scopalinidae,Scopalina
Siphonodictyon siphonum,596692,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Phloeodictyidae,Siphonodictyon
Spheciospongia vesparium,170566,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Clionaidae,Spheciospongia
Spirastrella coccinea,170705,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Spirastrellidae,Spirastrella
Spirastrella cunctatrix,134235,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Spirastrellidae,Spirastrella
Spongosorites siliquaria,165937,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Halichondriidae,Spongosorites
Stylocordyla longissima,170725,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Stylocordylidae,Stylocordyla
Terpios fugax,134307,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Terpios
Suberites aurantiacus,170835,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Suberites
Tethya actinia,170932,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,Tethyidae,Tethya
Tectitethya crypta,170927,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,Tethyidae,Tectitethya
Tethya seychellensis,170991,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,Tethyidae,Tethya
Timea mixta,134328,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,Timeidae,Timea
Biemna caribea,168252,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Biemnida,Biemnidae,Biemna
Plakortis halichondrioides,169763,Animalia,Porifera,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakortis,Plakortis halichondrioides
Xestospongia muta,166894,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Petrosiidae,Xestospongia
Neopetrosia subtriangularis,166814,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Petrosiidae,Neopetrosia
Strongylacidon griseum,168799,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Chondropsidae,Strongylacidon
Melithaeidae,196230,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Melithaeidae
Raspailiidae,131642,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Raspailiidae,
Dictyoceratida,131595,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,,
Petrosiidae,131638,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Petrosiidae,
Corallistidae,131679,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Corallistidae
Sclerothamnopsis compressa,171810,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Tretodictyidae,Sclerothamnopsis
